id,,,,,,,Temperature,,,,,,Humidity
1,,,,,,,19,,,,,,16.745
2,,,,,,,19,,,,,,16.79
3,,,,,,,19,,,,,,16.79
4,,,,,,,19,,,,,,16.79
5,,,,,,,19,,,,,,16.79
6,,,,,,,19.05,,,,,,16.79
7,,,,,,,19.05,,,,,,16.82333333
8,,,,,,,19.1,,,,,,16.84
9,,,,,,,19.1,,,,,,16.84
10,,,,,,,19.1,,,,,,16.84
11,,,,,,,19.1,,,,,,16.84
12,,,,,,,19.1,,,,,,16.865
13,,,,,,,19.1,,,,,,16.865
14,,,,,,,19.1,,,,,,16.865
15,,,,,,,19.1,,,,,,16.865
16,,,,,,,19.1,,,,,,16.865
17,,,,,,,19.1,,,,,,16.865
18,,,,,,,19.1,,,,,,16.865
19,,,,,,,19.1,,,,,,16.865
20,,,,,,,19.1,,,,,,16.89
21,,,,,,,19.1,,,,,,16.89
22,,,,,,,19.1,,,,,,16.89
23,,,,,,,19.1,,,,,,16.89
24,,,,,,,19.1,,,,,,16.89
25,,,,,,,19.1,,,,,,16.89
26,,,,,,,19.1,,,,,,16.89
27,,,,,,,19.1,,,,,,16.89
28,,,,,,,19.1,,,,,,16.9175
29,,,,,,,19.1,,,,,,16.945
30,,,,,,,19.1,,,,,,16.945
31,,,,,,,19.1,,,,,,16.96333333
32,,,,,,,19.1,,,,,,16.9725
33,,,,,,,19.1,,,,,,16.9725
34,,,,,,,19.1,,,,,,17
35,,,,,,,19.1,,,,,,17
36,,,,,,,19.1,,,,,,17
37,,,,,,,19.1,,,,,,17
38,,,,,,,19.1,,,,,,17
39,,,,,,,19.1,,,,,,17
40,,,,,,,19.1,,,,,,17
41,,,,,,,19.1,,,,,,17
42,,,,,,,19.1,,,,,,17
43,,,,,,,19.1,,,,,,17
44,,,,,,,19.1,,,,,,17
45,,,,,,,19.1,,,,,,17
46,,,,,,,19.1,,,,,,17
47,,,,,,,19.1,,,,,,17
48,,,,,,,19.1,,,,,,17
49,,,,,,,19.1,,,,,,17
50,,,,,,,19.1,,,,,,17
51,,,,,,,19.1,,,,,,17
52,,,,,,,19.1,,,,,,17.025
53,,,,,,,19.1,,,,,,17.03333333
54,,,,,,,19.1,,,,,,17.03333333
55,,,,,,,19.1,,,,,,17.03333333
56,,,,,,,19.13333333,,,,,,17.03333333
57,,,,,,,19.13333333,,,,,,17.05
58,,,,,,,19.13333333,,,,,,17.05
59,,,,,,,19.13333333,,,,,,17.06
60,,,,,,,19.13333333,,,,,,17.06666667
61,,,,,,,19.15,,,,,,17.06666667
62,,,,,,,19.15,,,,,,17.06666667
63,,,,,,,19.15,,,,,,17.075
64,,,,,,,19.15,,,,,,17.075
65,,,,,,,19.16666667,,,,,,17.1
66,,,,,,,19.16666667,,,,,,17.1
67,,,,,,,19.16666667,,,,,,17.1
68,,,,,,,19.175,,,,,,17.1
69,,,,,,,19.2,,,,,,17.1
70,,,,,,,19.2,,,,,,17.1
71,,,,,,,19.2,,,,,,17.1
72,,,,,,,19.2,,,,,,17.1
73,,,,,,,19.2,,,,,,17.1
74,,,,,,,19.2,,,,,,17.125
75,,,,,,,19.2,,,,,,17.13333333
76,,,,,,,19.2,,,,,,17.15
77,,,,,,,19.2,,,,,,17.16666667
78,,,,,,,19.2,,,,,,17.16666667
79,,,,,,,19.2,,,,,,17.16666667
80,,,,,,,19.2,,,,,,17.175
81,,,,,,,19.2,,,,,,17.175
82,,,,,,,19.2,,,,,,17.175
83,,,,,,,19.2,,,,,,17.2
84,,,,,,,19.2,,,,,,17.2
85,,,,,,,19.2,,,,,,17.2
86,,,,,,,19.2,,,,,,17.2
87,,,,,,,19.2,,,,,,17.2
88,,,,,,,19.2,,,,,,17.2225
89,,,,,,,19.2,,,,,,17.2225
90,,,,,,,19.2,,,,,,17.245
91,,,,,,,19.2,,,,,,17.245
92,,,,,,,19.2,,,,,,17.245
93,,,,,,,19.2,,,,,,17.26
94,,,,,,,19.2,,,,,,17.26
95,,,,,,,19.2,,,,,,17.2675
96,,,,,,,19.2,,,,,,17.2675
97,,,,,,,19.2,,,,,,17.29
98,,,,,,,19.2,,,,,,17.29
99,,,,,,,19.2,,,,,,17.29
100,,,,,,,19.2,,,,,,17.29
101,,,,,,,19.2,,,,,,17.315
102,,,,,,,19.2,,,,,,17.315
103,,,,,,,19.2,,,,,,17.315
104,,,,,,,19.2,,,,,,17.32333333
105,,,,,,,19.2,,,,,,17.34
106,,,,,,,19.2,,,,,,17.34
107,,,,,,,19.2,,,,,,17.35
108,,,,,,,19.2,,,,,,17.352
109,,,,,,,19.2,,,,,,17.35666667
110,,,,,,,19.2,,,,,,17.35666667
111,,,,,,,19.2,,,,,,17.35666667
112,,,,,,,19.2,,,,,,17.365
113,,,,,,,19.2,,,,,,17.365
114,,,,,,,19.2,,,,,,17.365
115,,,,,,,19.2,,,,,,17.365
116,,,,,,,19.2,,,,,,17.39
117,,,,,,,19.2,,,,,,17.39
118,,,,,,,19.2,,,,,,17.39
119,,,,,,,19.2,,,,,,17.39
120,,,,,,,19.2,,,,,,17.39
121,,,,,,,19.2,,,,,,17.39
122,,,,,,,19.2,,,,,,17.39
123,,,,,,,19.2,,,,,,17.39
124,,,,,,,19.2,,,,,,17.4175
125,,,,,,,19.2,,,,,,17.4175
126,,,,,,,19.2,,,,,,17.42666667
127,,,,,,,19.2,,,,,,17.46333333
128,,,,,,,19.2,,,,,,17.5
129,,,,,,,19.2,,,,,,17.5
130,,,,,,,19.2,,,,,,17.5
131,,,,,,,19.2,,,,,,17.5
132,,,,,,,19.2,,,,,,17.5
133,,,,,,,19.2,,,,,,17.525
134,,,,,,,19.2,,,,,,17.525
135,,,,,,,19.2,,,,,,17.525
136,,,,,,,19.2,,,,,,17.53333333
137,,,,,,,19.2,,,,,,17.55
138,,,,,,,19.2,,,,,,17.55
139,,,,,,,19.2,,,,,,17.55
140,,,,,,,19.2,,,,,,17.56666667
141,,,,,,,19.2,,,,,,17.56666667
142,,,,,,,19.2,,,,,,17.6
143,,,,,,,19.2,,,,,,17.6
144,,,,,,,19.2,,,,,,17.6
145,,,,,,,19.2,,,,,,17.6
146,,,,,,,19.2,,,,,,17.6
147,,,,,,,19.2,,,,,,17.6
148,,,,,,,19.2,,,,,,17.6
149,,,,,,,19.2,,,,,,17.6
150,,,,,,,19.2,,,,,,17.6
151,,,,,,,19.2,,,,,,17.6
152,,,,,,,19.2,,,,,,17.6
153,,,,,,,19.2,,,,,,17.6
154,,,,,,,19.2,,,,,,17.6
